BTC,ETH
21974.67,1509.3
20708.83,1368.64
21453.58,1492.36
23085.18,1650.71
24015.95,1724.15
24338.6,1716.39
23711.84,1704.48
23424.41,1684.88
23025.54,1625.49
23282.91,1653.62
22891.8,1612.56
23173.59,1693.62
23204.88,1716.76
23106.61,1704.28
24141.53,1794.21
23072.6,1684.02
23941.15,1829.52
24560.02,1902.95
23811.38,1881.53
24470.31,1980.91
24508.58,1981.33
24064.74,1903.65
23737.37,1873.89
23409.83,1860.66
21351.58,1691.18
21244.41,1632.56
21382.1,1616.44
21180.0,1562.34
21448.1,1631.59
21458.81,1648.59
21639.3,1710.12
21147.46,1634.78
20088.89,1490.51
19891.77,1473.99
20156.79,1510.78
19831.85,1524.36
20095.22,1566.05
19698.22,1519.85
20352.65,1636.8
19792.4,1549.85
19745.63,1553.69
19845.11,1590.52
19825.93,1665.22
18895.5,1543.5
19295.19,1642.44
21074.02,1724.81
21220.93,1717.2
21503.77,1762.09
22281.27,1735.27
21172.57,1606.24
20285.21,1599.9
19668.28,1494.57
19654.25,1448.55
19898.09,1443.74
19792.28,1421.47
19287.59,1355.43
19060.12,1358.32
19230.58,1341.73
18848.62,1265.95
18655.33,1283.27
19077.4,1341.78
18901.0,1305.68
19120.46,1329.8
19180.45,1319.6
19970.02,1359.68
19307.98,1322.37
19086.31,1289.78
19403.36,1319.4
20093.42,1350.12
19863.57,1325.03
20088.63,1368.82
19650.12,1339.2
19487.66,1323.99
19505.0,1324.34
19248.65,1306.02
19019.01,1282.74
19088.53,1295.64
18413.52,1222.02
19460.99,1319.7
19129.36,1287.9
19120.62,1282.56
19450.05,1324.87
19395.81,1309.75
19159.91,1297.07
19303.45,1305.88
18989.16,1280.25
19262.07,1315.45
19178.29,1311.15
19263.68,1334.36
19499.61,1382.16
20818.45,1576.81
20551.8,1548.21
20493.37,1532.68
20836.41,1618.67
20722.58,1597.94
20316.47,1556.88
20391.52,1569.31
20420.28,1560.11
20294.93,1568.71
23269.11,1659.82
21241.29,1630.88
21214.0,1626.47
20631.13,1571.84
19420.52,1446.09
17606.23,1224.1
17588.76,1305.54
16930.98,1259.52
16886.95,1273.92
16607.63,1237.57
16622.83,1250.15
16904.77,1267.47
16449.75,1205.8
16465.05,1192.48
16653.29,1212.77
16590.4,1206.48
16489.75,1172.11
16110.89,1133.07
16012.92,1121.4
16386.37,1164.23
16416.01,1192.91
16301.13,1191.7
16387.19,1212.76
16428.0,1211.92
16083.36,1165.94
16314.56,1204.75
16808.9,1266.0
17067.72,1281.96
16892.48,1279.61
16891.5,1269.1
16949.74,1259.71
17115.64,1283.0
16903.68,1251.86
16781.16,1233.46
16870.78,1247.82
17147.67,1274.01
17127.65,1271.04
17110.34,1271.35
16972.17,1250.75
17791.52,1332.62
17991.11,1340.29
17417.4,1270.51
16997.9,1214.9
16631.43,1177.44
16645.54,1175.31
16706.54,1186.74
16865.97,1219.91
16741.11,1213.43
16598.58,1192.65
16722.92,1216.83
16789.58,1218.59
16769.82,1212.85
16789.18,1216.07
16700.04,1209.46
16647.06,1204.27
16552.43,1201.43
16367.05,1187.91
16555.39,1202.77
16477.84,1193.58
16650.38,1215.43
16613.98,1209.35
16771.27,1248.62
16761.02,1246.87
16726.7,1247.98
16905.88,1264.64
16939.37,1266.34
17257.87,1325.96
17264.45,1331.07
17381.67,1332.27
17978.23,1380.6
18958.69,1411.29
20763.61,1522.53
20773.78,1539.98
20811.89,1541.98
21259.81,1580.78
21390.54,1593.91
20754.08,1532.14
21075.66,1560.24
22853.41,1649.44
22928.99,1643.93
22627.46,1610.0
22799.39,1614.36
22371.61,1537.68
22929.27,1607.31
22874.43,1580.44
22831.6,1570.63
23490.76,1614.71
23214.19,1595.65
23006.86,1583.69
23054.12,1584.8
23579.03,1655.36
23490.42,1659.62
23482.88,1680.35
23154.03,1652.1
22788.5,1628.69
22935.27,1637.73
23056.01,1669.83
22654.38,1637.57
21799.22,1542.72
21743.86,1526.83
21894.57,1532.33
21661.0,1490.18
22184.95,1560.78
22645.88,1571.16
24397.76,1678.69
23838.45,1658.61
24635.53,1696.91
24747.8,1704.93
24981.03,1714.15
24643.92,1674.4
23942.82,1629.77
24005.6,1661.47
23789.08,1636.45
22982.14,1597.45
23207.43,1603.49
23768.64,1658.53
23427.58,1635.57
23658.31,1655.5
23291.04,1625.48
22409.38,1571.32
22336.45,1566.92
22421.59,1569.51
22423.78,1570.1
22274.13,1561.96
21947.6,1549.07
21711.74,1539.05
19886.2,1401.89
22200.11,1574.68
21465.21,1535.6
23587.52,1657.64
25920.06,1772.77
24709.1,1662.54
24910.83,1664.26
26290.41,1714.92
27585.39,1820.16
27374.81,1791.75
